City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
332,Yueyang,CN,29.3333,113.0919,85.62,65,28,3.98,scattered clouds
333,Belize,BZ,17.25,-88.75,80.92,95,100,0.69,overcast clouds
334,Touros,BR,-5.1989,-35.4608,83.3,60,57,20.2,broken clouds
335,Mosquera,CO,4.7059,-74.2302,60.89,63,40,3.44,scattered clouds
336,Ambanja,MG,-13.6833,48.45,73.67,62,4,4.38,clear sky
337,Vao,NC,-22.6667,167.4833,70.74,82,88,16.64,overcast clouds
338,Cap Malheureux,MU,-19.9842,57.6142,71.47,67,1,10.0,clear sky
339,Guaymitas,HN,15.4979,-87.7147,89.01,72,97,3.76,overcast clouds
340,Leh,IN,34.1667,77.5833,68.86,36,43,7.96,scattered clouds
341,Erzin,TR,36.9559,36.2,81.64,56,0,9.06,clear sky
342,Bambous Virieux,MU,-20.3428,57.7575,71.22,73,40,11.5,scattered clouds
343,Dingle,PH,10.9995,122.6711,75.96,90,100,4.52,light rain
344,Port Hardy,CA,50.6996,-127.4199,60.98,94,100,4.61,overcast clouds
345,Waitati,NZ,-45.75,170.5667,46.8,88,0,3.36,clear sky
